	Name	Term	ES	NES	NOM p-val	FDR q-val	FWER p-val	Tag %	Gene %	Lead_genes
167	prerank	Choroid Plexus Cells	-0.33400040385593444	-1.066882517498616	0.36836403033586135	0.38512680824784334	1.0	36/114	20.25%	AQP1;ADCY5;LGR4;WFIKKN2;FRZB;KL;HTR2C;TRIL;PDZRN3;ADGRL2;CHRD;SOSTDC1;RARRES2;SLC13A4;GPC6;PRICKLE2;PLPP3;GPRC5B;ARHGEF17;TMEM47;EGFR;SOD3;NEO1;TJP1;MPDZ;CTNND1;TEAD1;IGFBP5;MAP6;SHC2;PARD3B;SDC2;CDC42EP4;NOTCH3;EFS;SLC16A2
168	prerank	Serotonergic Neurons	-0.33155646489280977	-1.0220182781967282	0.43891891891891893	0.47287724782635226	1.0	23/86	14.71%	MYCT1;MMRN1;SLC5A1;FABP1;MUC17;SULT1B1;CDH17;ESM1;TMEM236;F2RL3;CYP3A5;SLC39A5;ABCG5;SLC6A19;SLC6A4;SLC40A1;SLC3A1;NR1H4;SLC5A9;ABO;PCK1;ACSM2A;ADH4
169	prerank	Pancreatic Progenitor Cells	-0.30167003645895013	-0.9429844858819969	0.5953389830508474	0.6313657162282659	1.0	25/108	17.30%	CNTFR;C1QL1;LINGO1;MFNG;NRARP;NR2F1;EFNA2;PHF21B;HCN4;CXCR4;PRPH;EPAS1;NKAIN1;ABCC8;NPNT;NR2F2;NKX2-2;LYPD6;JPH1;CXXC4;ONECUT2;C2CD4C;TEAD1;SHC2;LRP4
170	prerank	Pluripotent Stem Cells	-0.2983692087492617	-0.9378789640624826	0.6065747613997879	0.6367586469129708	1.0	39/105	36.64%	GATA2;LIN28B;LIN28A;SLC7A3;ZSCAN10;VASH2;VRTN;SPN;TICRR;ZGRF1;PSIP1;ATAD5;KNTC1;MCM8;CDCA7;CENPF;ZIC3;DNMT3B;ZFX;KIF11;PRDM14;NANOGP8;NANOG;BLM;MCM10;PLK4;CBX2;PFAS;CCNA2;FUBP1;WDHD1;PPAT;FANCI;TERF1;MSH2;FANCD2;MCM4;CDC7;DNA2
171	prerank	Enterocytes	-0.2857810695682076	-0.9371159524121374	0.634575569358178	0.6334646968733267	1.0	34/172	13.47%	GFRA2;ABCG2;AQP1;CYP4F12;SLC35F1;CD36;NR5A2;CDO1;ANPEP;SLC5A1;CPS1;DAB1;CYBRD1;FABP1;MUC17;APOA1;TM6SF2;COL20A1;SLC51B;CDH17;MUC13;IHH;TREH;SLC10A2;SLC39A5;ABCG5;APOA4;SLC40A1;RBP2;NR1H4;PCK1;L1CAM;CDH19;MTTP
172	prerank	Germ Cells	0.20059041829095972	0.9045756307057519	0.7209302325581395	0.7721835775451029	0.988	26/151	13.81%	SPATA12;PLAAT5;SPATA16;TMEM53;SPATA18;SPAG6;MEIG1;MORN5;RSPH1;H1-7;MRPL14;TFAP2C;DDX4;DYNLT1;DMRT1;NR6A1;CRISP2;CALR3;SPATA24;TSSK3;DNAAF1;MYO1D;SPATA4;PRM1;ZMYND19;FAM229A
173	prerank	Luteal Cells	-0.2667049816647349	-0.8621020824688929	0.7430703624733476	0.7663583012423556	1.0	26/122	20.25%	CHST3;LGR4;AOX1;ADGRL2;SYDE1;SCARA3;RND3;COL6A1;PKDCC;F10;GPC6;TSPAN9;ARHGEF17;TMEM47;FERMT2;EGFR;MPDZ;RBFOX2;TEAD1;FKBP5;YAP1;EPHX2;ADAMTS1;CDC42EP4;MOCS1;SLC16A2
174	prerank	Olfactory Epithelial Cells	-0.2590603221241575	-0.857352854093103	0.8004073319755601	0.7686394331217308	1.0	34/207	17.10%	EBF2;ANO2;KCNA5;GADL1;LINGO1;SCN4B;MEIS3;FGF12;PDE1C;KCNC4;CLSTN2;ADGRB2;METRN;ACSL6;H2BC21;CARNS1;EBF3;SPEF2;FLRT1;JAKMIP1;SPTBN4;EPN2;CFAP126;PDE4A;SPOCK1;CIBAR2;NYAP1;CASKIN1;CNTN4;MPP2;C2CD4C;TTLL3;VSTM2L;MAP6
175	prerank	Distal Tubule Cells	-0.2685720990907653	-0.8404603225268421	0.7836691410392365	0.7901058931775723	1.0	25/121	14.46%	RHCG;AVPR2;FMO2;SLC5A1;TRHDE;SLC8A1;CMYA5;CDH16;KL;TMEM213;WNK4;SOSTDC1;MROH7;JAG1;KLHL3;SLC12A3;CYP3A5;SLC3A1;ESRRG;CACNA1D;ABO;PCK1;KLK1;BAZ2B;CXCL14
176	prerank	Spermatocytes	0.1881493900260213	0.7353794783642157	0.9391891891891891	0.983953181045875	0.998	3/53	2.30%	VTCN1;INHBB;CCDC185
177	prerank	Reticulocytes	-0.18518878751183368	-0.57772031328213	0.9935205183585313	0.9954900063319116	1.0	2/97	1.79%	ITGA4;CD36
